,DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,CD_CARGO,DS_CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_SOCIAL_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SQ_COLIGACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO,ST_VOTO_EM_TRANSITO,QT_VOTOS_NOMINAIS
204225,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,26034,TERRA NOVA,78,1,Presidente,280000622171,18,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,MARINA SILVA,#NULO#,12,APTO,2,DEFERIDO,Coligação,18,REDE,Rede Sustentabilidade,280000050589,UNIDOS PARA TRANSFORMAR O BRASIL,REDE / PV,4,NÃO ELEITO,N,11
204947,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24074,FEIRA NOVA,135,1,Presidente,280000629808,13,FERNANDO HADDAD,FERNANDO HADDAD,#NULO#,12,APTO,2,DEFERIDO,Coligação,13,PT,Partido dos Trabalhadores,280000050703,O POVO FELIZ DE NOVO,PT / PC do B / PROS,6,2º TURNO,N,6085
204950,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24872,MORENO,14,1,Presidente,280000622171,18,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,MARINA SILVA,#NULO#,12,APTO,2,DEFERIDO,Coligação,18,REDE,Rede Sustentabilidade,280000050589,UNIDOS PARA TRANSFORMAR O BRASIL,REDE / PV,4,NÃO ELEITO,N,248
206398,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24376,IGUARACY,66,1,Presidente,280000622171,18,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,MARINA SILVA,#NULO#,12,APTO,2,DEFERIDO,Coligação,18,REDE,Rede Sustentabilidade,280000050589,UNIDOS PARA TRANSFORMAR O BRASIL,REDE / PV,4,NÃO ELEITO,N,5
206402,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25011,PALMEIRINA,59,1,Presidente,280000622171,18,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,MARINA SILVA,#NULO#,12,APTO,2,DEFERIDO,Coligação,18,REDE,Rede Sustentabilidade,280000050589,UNIDOS PARA TRANSFORMAR O BRASIL,REDE / PV,4,NÃO ELEITO,N,18
206406,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23035,AFRÂNIO,107,1,Presidente,280000629808,13,FERNANDO HADDAD,FERNANDO HADDAD,#NULO#,12,APTO,2,DEFERIDO,Coligação,13,PT,Partido dos Trabalhadores,280000050703,O POVO FELIZ DE NOVO,PT / PC do B / PROS,6,2º TURNO,N,7271
302930,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23396,BODOCÓ,80,1,Presidente,280000601173,16,VERA LUCIA PEREIRA DA SILVA SALGADO,VERA,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,16,PSTU,Partido Socialista dos Trabalhadores Unificado,280000050040,PARTIDO ISOLADO,PSTU,4,NÃO ELEITO,N,4
314696,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25399,SAIRÉ,132,1,Presidente,280000601173,16,VERA LUCIA PEREIRA DA SILVA SALGADO,VERA,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,16,PSTU,Partido Socialista dos Trabalhadores Unificado,280000050040,PARTIDO ISOLADO,PSTU,4,NÃO ELEITO,N,5
331025,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,26336,ITAPISSUMA,131,1,Presidente,280000601173,16,VERA LUCIA PEREIRA DA SILVA SALGADO,VERA,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,16,PSTU,Partido Socialista dos Trabalhadores Unificado,280000050040,PARTIDO ISOLADO,PSTU,4,NÃO ELEITO,N,4
331759,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25372,RIO FORMOSO,26,1,Presidente,280000601173,16,VERA LUCIA PEREIRA DA SILVA SALGADO,VERA,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,16,PSTU,Partido Socialista dos Trabalhadores Unificado,280000050040,PARTIDO ISOLADO,PSTU,4,NÃO ELEITO,N,6
333260,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25135,PAULISTA,114,1,Presidente,280000601173,16,VERA LUCIA PEREIRA DA SILVA SALGADO,VERA,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,16,PSTU,Partido Socialista dos Trabalhadores Unificado,280000050040,PARTIDO ISOLADO,PSTU,4,NÃO ELEITO,N,38
335482,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23418,BOM CONSELHO,61,1,Presidente,280000601173,16,VERA LUCIA PEREIRA DA SILVA SALGADO,VERA,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,16,PSTU,Partido Socialista dos Trabalhadores Unificado,280000050040,PARTIDO ISOLADO,PSTU,4,NÃO ELEITO,N,13
336243,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25291,QUIPAPÁ,47,1,Presidente,280000601173,16,VERA LUCIA PEREIRA DA SILVA SALGADO,VERA,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,16,PSTU,Partido Socialista dos Trabalhadores Unificado,280000050040,PARTIDO ISOLADO,PSTU,4,NÃO ELEITO,N,4
369349,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25739,SÃO LOURENÇO DA MATA,13,1,Presidente,280000629808,13,FERNANDO HADDAD,FERNANDO HADDAD,#NULO#,12,APTO,2,DEFERIDO,Coligação,13,PT,Partido dos Trabalhadores,280000050703,O POVO FELIZ DE NOVO,PT / PC do B / PROS,6,2º TURNO,N,23981
369350,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23078,ÁGUA PRETA,38,1,Presidente,280000629808,13,FERNANDO HADDAD,FERNANDO HADDAD,#NULO#,12,APTO,2,DEFERIDO,Coligação,13,PT,Partido dos Trabalhadores,280000050703,O POVO FELIZ DE NOVO,PT / PC do B / PROS,6,2º TURNO,N,9353
369351,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25313,RECIFE,8,1,Presidente,280000622171,18,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,MARINA SILVA,#NULO#,12,APTO,2,DEFERIDO,Coligação,18,REDE,Rede Sustentabilidade,280000050589,UNIDOS PARA TRANSFORMAR O BRASIL,REDE / PV,4,NÃO ELEITO,N,1379
374818,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23531,BUENOS AIRES,23,1,Presidente,280000629808,13,FERNANDO HADDAD,FERNANDO HADDAD,#NULO#,12,APTO,2,DEFERIDO,Coligação,13,PT,Partido dos Trabalhadores,280000050703,O POVO FELIZ DE NOVO,PT / PC do B / PROS,6,2º TURNO,N,4854
377315,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25410,SALGADINHO,88,1,Presidente,280000622281,15,HENRIQUE DE CAMPOS MEIRELLES,HENRIQUE MEIRELLES,#NULO#,12,APTO,2,DEFERIDO,Coligação,15,MDB,Movimento Democrático Brasileiro,280000050592,ESSA É A SOLUÇÃO,MDB / PHS,4,NÃO ELEITO,N,31
378401,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24872,MORENO,14,1,Presidente,280000629808,13,FERNANDO HADDAD,FERNANDO HADDAD,#NULO#,12,APTO,2,DEFERIDO,Coligação,13,PT,Partido dos Trabalhadores,280000050703,O POVO FELIZ DE NOVO,PT / PC do B / PROS,6,2º TURNO,N,16669
379135,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25674,SÃO JOSÉ DA COROA GRANDE,42,1,Presidente,280000622171,18,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,MARINA SILVA,#NULO#,12,APTO,2,DEFERIDO,Coligação,18,REDE,Rede Sustentabilidade,280000050589,UNIDOS PARA TRANSFORMAR O BRASIL,REDE / PV,4,NÃO ELEITO,N,78
380574,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23230,ARCOVERDE,57,1,Presidente,280000629808,13,FERNANDO HADDAD,FERNANDO HADDAD,#NULO#,12,APTO,2,DEFERIDO,Coligação,13,PT,Partido dos Trabalhadores,280000050703,O POVO FELIZ DE NOVO,PT / PC do B / PROS,6,2º TURNO,N,17665
382760,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23167,CARNAUBEIRA DA PENHA,69,1,Presidente,280000622171,18,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,MARINA SILVA,#NULO#,12,APTO,2,DEFERIDO,Coligação,18,REDE,Rede Sustentabilidade,280000050589,UNIDOS PARA TRANSFORMAR O BRASIL,REDE / PV,4,NÃO ELEITO,N,12
386679,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24872,MORENO,14,1,Presidente,280000622281,15,HENRIQUE DE CAMPOS MEIRELLES,HENRIQUE MEIRELLES,#NULO#,12,APTO,2,DEFERIDO,Coligação,15,MDB,Movimento Democrático Brasileiro,280000050592,ESSA É A SOLUÇÃO,MDB / PHS,4,NÃO ELEITO,N,249
387369,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24058,EXU,79,1,Presidente,280000622281,15,HENRIQUE DE CAMPOS MEIRELLES,HENRIQUE MEIRELLES,#NULO#,12,APTO,2,DEFERIDO,Coligação,15,MDB,Movimento Democrático Brasileiro,280000050592,ESSA É A SOLUÇÃO,MDB / PHS,4,NÃO ELEITO,N,60
387757,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23213,ARARIPINA,84,1,Presidente,280000622171,18,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,MARINA SILVA,#NULO#,12,APTO,2,DEFERIDO,Coligação,18,REDE,Rede Sustentabilidade,280000050589,UNIDOS PARA TRANSFORMAR O BRASIL,REDE / PV,4,NÃO ELEITO,N,113
387763,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25950,TACARATU,89,1,Presidente,280000622171,18,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,MARINA SILVA,#NULO#,12,APTO,2,DEFERIDO,Coligação,18,REDE,Rede Sustentabilidade,280000050589,UNIDOS PARA TRANSFORMAR O BRASIL,REDE / PV,4,NÃO ELEITO,N,35
388490,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24570,JABOATÃO DOS GUARARAPES,101,1,Presidente,280000622171,18,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,MARINA SILVA,#NULO#,12,APTO,2,DEFERIDO,Coligação,18,REDE,Rede Sustentabilidade,280000050589,UNIDOS PARA TRANSFORMAR O BRASIL,REDE / PV,4,NÃO ELEITO,N,1203
390273,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24430,IPOJUCA,16,1,Presidente,280000622281,15,HENRIQUE DE CAMPOS MEIRELLES,HENRIQUE MEIRELLES,#NULO#,12,APTO,2,DEFERIDO,Coligação,15,MDB,Movimento Democrático Brasileiro,280000050592,ESSA É A SOLUÇÃO,MDB / PHS,4,NÃO ELEITO,N,270
391719,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25534,SANTA MARIA DO CAMBUCÁ,46,1,Presidente,280000622281,15,HENRIQUE DE CAMPOS MEIRELLES,HENRIQUE MEIRELLES,#NULO#,12,APTO,2,DEFERIDO,Coligação,15,MDB,Movimento Democrático Brasileiro,280000050592,ESSA É A SOLUÇÃO,MDB / PHS,4,NÃO ELEITO,N,35
392435,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24295,IATI,136,1,Presidente,280000622281,15,HENRIQUE DE CAMPOS MEIRELLES,HENRIQUE MEIRELLES,#NULO#,12,APTO,2,DEFERIDO,Coligação,15,MDB,Movimento Democrático Brasileiro,280000050592,ESSA É A SOLUÇÃO,MDB / PHS,4,NÃO ELEITO,N,42
393487,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24570,JABOATÃO DOS GUARARAPES,147,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,3366
393502,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25534,SANTA MARIA DO CAMBUCÁ,46,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,57
393507,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23230,ARCOVERDE,57,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,231
394221,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23019,AFOGADOS DA INGAZEIRA,66,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,66
394246,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25518,SANTA MARIA DA BOA VISTA,81,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,206
394962,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25070,PARNAMIRIM,78,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,52
395648,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25291,QUIPAPÁ,47,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,78
395663,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23612,CACHOEIRINHA,44,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,35
395677,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24376,IGUARACY,66,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,25
396371,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25313,RECIFE,3,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,3054
396448,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23175,AMARAJI,31,1,Presidente,280000607640,30,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO AMOÊDO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,30,NOVO,Partido Novo,280000050199,PARTIDO ISOLADO,NOVO,4,NÃO ELEITO,N,50
397113,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23817,CARUARU,41,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,69
397844,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25437,SALGUEIRO,75,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,260
397850,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23175,AMARAJI,31,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,442
397853,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25879,SOLIDÃO,98,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,18
